Gender,Seniorcitizen,Partner,Dependents,Tenure,Phoneservice,Mult Lines,Int Service,Onlinesecurity,Onlinebackup,Deviceprotection,Techsupport,Streamingtv,Streamingmovies,Contract,Paperlessbilling,Pay Method,Monthlycharges,Totalcharges,Has_Streaming,OnlineExtras,StreamingExtras,Cluster
0,0,0,0,0.5203335271749256,1,2,1,0,1,0,0,1,0,0,1,0,0.8504997123136799,0.6560165489139461,1,1,1,2
0,0,0,0,0.0,1,2,1,0,1,0,0,0,0,0,1,3,0.7904285959181566,0.2364392601787993,0,1,0,4
0,0,0,0,0.19268474081439926,1,0,2,0,0,0,0,0,0,0,0,3,0.044872086104495966,0.19902497458884807,0,0,0,3
1,0,0,0,0.713018267989325,1,2,1,0,0,0,0,1,1,0,1,0,0.879165018715616,0.7877876141014413,1,0,2,2
0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,0.7246183450163238,0.21635065645638768,0,0,0,3
1,0,1,0,0.6789366222463231,1,0,0,1,0,0,1,0,0,0,1,2,0.5812065629775022,0.6708538319888813,0,2,0,3
0,1,1,0,0.9408108104555145,1,0,1,1,1,0,1,1,1,1,1,1,0.9368293503368552,0.9452139406914709,1,3,2,0
1,0,1,0,0.4738949439878661,1,2,1,0,0,0,0,0,1,0,1,2,0.8230336771760338,0.6222169914873253,1,0,1,4
0,1,1,0,0.34824971471629823,1,2,1,0,0,0,0,0,1,0,1,2,0.8173667648335382,0.5263241320300143,1,0,1,4
0,0,0,0,0.9922776889814588,1,2,1,1,1,1,1,1,1,1,0,1,0.985414193356468,0.989192569739068,1,4,2,0
1,0,0,0,0.713018267989325,1,2,2,0,0,0,0,0,0,1,0,0,0.17440712303676847,0.5839572518625684,0,0,0,4
0,0,0,0,0.5780542224431977,1,0,1,1,0,1,1,1,1,0,0,2,0.9348010703593979,0.7225298535714314,1,3,2,0
1,0,1,1,0.254715372338644,1,2,1,0,1,1,0,0,0,0,1,0,0.8202077390546765,0.4864772834861725,0,2,0,0
1,0,0,0,0.11271334783759884,1,0,1,0,0,1,0,0,1,0,1,2,0.826778478466535,0.35627763603687257,1,1,1,1
1,0,0,0,0.305398088651998,1,2,0,0,0,0,0,0,0,0,0,2,0.5068031135026921,0.40322684327716335,0,0,0,4
1,0,0,0,0.0,1,0,1,0,0,0,1,0,0,0,1,2,0.7610046310125275,0.22745758387713869,0,1,0,3
0,0,0,0,0.0,1,0,1,0,0,1,0,1,0,0,1,1,0.8249093608215463,0.2469645265726787,1,1,1,1
1,0,0,0,0.5780542224431977,1,2,1,0,0,0,0,1,1,0,1,2,0.8714985803515914,0.70764970235612,1,0,2,2
0,0,1,1,0.7433740681130344,1,0,1,0,0,0,0,0,1,0,1,2,0.7960578257658736,0.7781957268478299,1,0,1,1
0,1,1,0,0.7336191963450966,1,0,1,1,0,0,0,0,0,0,1,0,0.7560573971634003,0.7548043538867099,0,1,0,1
1,0,0,0,0.11271334783759884,1,2,1,0,0,0,0,1,0,0,1,2,0.8255331273200583,0.36955567484960206,1,0,1,4
0,0,0,1,0.4474001131530433,1,0,0,0,0,1,1,1,1,0,1,3,0.7394717106460434,0.5778311060807211,1,2,2,1
1,1,1,0,0.7792930326398642,1,2,1,0,0,0,0,0,0,0,1,2,0.753923040975606,0.7836825565438843,0,0,0,4
0,0,0,0,0.19268474081439926,1,0,2,0,0,0,0,0,0,0,0,2,0.04217539319048182,0.18598973619805903,0,0,0,3
1,0,0,0,0.305398088651998,1,0,2,0,0,0,0,0,0,0,0,3,0.07621276203621011,0.2935429733202762,0,0,0,3
1,0,0,0,0.8948002263060865,1,2,1,0,1,1,0,1,1,0,1,0,0.9276407936433372,0.9111881504117766,1,2,2,0
1,0,0,0,0.0,1,2,1,0,0,0,0,1,1,0,1,2,0.8833770631350886,0.26481181458999226,1,0,2,2
0,0,1,0,0.4181114364895969,1,0,1,0,1,1,0,1,1,0,0,2,0.9143468937965504,0.6198367417321579,1,2,2,1
1,0,0,0,0.305398088651998,1,0,1,0,0,0,1,1,1,0,1,2,0.887000816436588,0.5187730403472484,1,1,2,1
0,0,1,1,0.9545980320105482,1,2,1,0,1,0,0,1,1,0,1,2,0.9036836525000244,0.939997891537151,1,1,2,2
0,0,0,0,0.723509525141595,1,0,1,0,0,0,0,1,1,0,1,0,0.8448178120553145,0.7816174691193655,1,0,2,1
1,0,1,0,0.0,1,0,1,0,0,0,0,1,0,0,1,2,0.7927537059276151,0.23714900087954055,1,0,1,1
1,0,1,1,0.6907675702807966,1,0,1,1,0,0,1,1,1,0,1,2,0.9074400583792144,0.7856484143282209,1,2,2,1
1,0,0,0,0.11271334783759884,1,0,0,0,0,0,0,0,0,0,0,2,0.4860199642592101,0.25432135571338677,0,0,0,3
1,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,1,3,0.5224264158877598,0.15463149440376991,0,1,0,3
0,1,1,0,0.9843347108983214,1,2,1,0,1,0,0,1,1,0,1,2,0.909308397418246,0.961358336916349,1,1,2,2
1,0,0,0,0.4181114364895969,1,0,1,0,0,1,0,1,1,0,1,2,0.879165018715616,0.5986822484761922,1,1,2,1
0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,2,0.7185593402888848,0.2145011429952811,0,0,0,3
0,0,0,0,0.19268474081439926,1,0,1,0,1,0,1,1,1,0,1,2,0.8969093411032336,0.45956812093420396,1,2,2,1
0,0,1,0,0.305398088651998,1,0,1,0,0,0,0,0,0,0,0,2,0.7174155824891619,0.4670691777780793,0,0,0,3
1,1,0,0,0.19268474081439926,1,2,1,0,1,0,0,0,0,0,1,2,0.7980305277462699,0.41075585564885353,0,1,0,4
0,0,0,0,0.8463325441826955,1,2,1,0,1,1,0,1,1,0,1,2,0.9408629412811866,0.8907756103782136,1,2,2,2
0,0,0,0,0.34824971471629823,1,0,1,0,0,0,0,1,1,0,0,2,0.8478158214027509,0.5582332185881175,1,0,2,1
0,0,1,0,0.9408108104555145,1,2,1,0,0,1,1,1,1,0,1,1,0.9193382891504653,0.9365819591527796,1,2,2,0
0,1,1,1,0.770738963257597,1,0,1,0,0,1,1,1,1,0,1,2,0.9023356485979781,0.8218597500922549,1,2,2,1
1,0,0,0,0.8110974307265147,1,2,1,0,0,0,0,0,1,0,1,2,0.8208370191063021,0.8303620087371218,1,0,1,4
1,0,0,0,0.7792930326398642,1,2,1,1,1,0,1,1,1,0,1,1,0.950075541139713,0.8487208696974184,1,3,2,0
0,0,0,0,0.0,0,1,0,0,0,0,0,1,0,0,1,2,0.343098895759918,0.09989170175741369,1,0,1,1
1,0,0,0,0.6907675702807966,1,2,1,0,0,0,1,1,0,0,1,2,0.8555327681851266,0.7559701874476311,1,1,1,2
0,0,1,1,0.610796177303996,1,2,1,0,0,1,0,1,0,0,0,2,0.8415004420608992,0.7094449127378767,1,1,1,2
0,0,0,0,0.19268474081439926,1,0,1,0,0,0,1,0,1,0,0,2,0.8264674128812726,0.43561112827928494,1,1,1,1
1,0,1,0,0.9408108104555145,1,0,0,1,1,1,0,0,0,1,0,1,0.6381523354066019,0.8548201561976044,0,3,0,0
0,0,1,0,0.11271334783759884,1,0,1,1,0,0,0,0,0,0,1,2,0.7503467110481281,0.32654217534829727,0,1,0,3
0,1,1,0,0.0,1,0,1,0,0,0,0,0,0,0,1,3,0.7212186189512102,0.21531288880239874,0,0,0,3
1,1,1,0,0.9454829426194404,1,2,1,0,0,0,0,1,1,0,1,0,0.8743508524226999,0.9277436452255535,1,0,2,2
0,0,0,0,0.8185108119262328,1,2,1,0,1,1,0,1,1,0,1,0,0.9182913396738551,0.8539741732098294,1,2,2,0
1,0,0,0,0.19268474081439926,1,2,1,0,0,0,0,0,0,0,1,2,0.7503467110481281,0.4078355638488602,0,0,0,4
0,1,1,0,0.9212950571409093,1,2,1,0,1,0,0,1,1,1,1,1,0.9161912619931227,0.9217388186277744,1,1,2,2
1,0,1,0,0.9500778459121858,1,2,1,0,1,1,0,1,0,0,1,2,0.8850526211900166,0.9325870920145459,1,2,1,2
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,3,0.4747159909025381,0.14006786931767756,0,0,0,3
1,0,0,1,0.4181114364895969,0,1,0,0,0,0,0,0,0,0,0,3,0.17861142871191213,0.3973142813465253,0,0,0,3
0,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0,0,3,0.07239431385310842,0.017259026798024317,0,0,0,3
0,0,1,1,0.7433740681130344,1,0,1,0,0,0,0,1,1,1,1,0,0.8525778958846231,0.8033620395524117,1,0,2,1
0,0,1,0,0.8891841702469956,0,1,0,1,0,1,0,0,1,0,1,0,0.48543094703235,0.77207382888018,1,2,1,0
0,0,1,1,0.6907675702807966,1,0,1,0,1,1,1,0,0,0,0,2,0.8138738087657197,0.7523273317066128,0,3,0,0
1,0,1,0,0.8463325441826955,1,2,0,0,0,1,0,1,1,1,1,2,0.740203642305553,0.8268165794933605,1,1,2,2
1,0,0,0,0.8592644256166645,1,2,1,0,1,0,0,0,0,0,1,2,0.7745493042324227,0.8455059823985973,0,1,0,4
1,0,1,0,0.9263039371594961,1,2,1,1,1,0,0,1,0,0,1,2,0.8906001418662123,0.9176163212386462,1,2,1,2
0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,2,0.713969534989371,0.21310010320951137,0,0,0,3
0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,1,2,0.7870893476236905,0.23541995338693902,1,0,1,1
1,1,1,0,0.305398088651998,1,2,1,0,0,1,0,0,0,0,1,0,0.788427553993347,0.4737433498911873,0,1,0,4
0,1,0,0,0.7336191963450966,1,2,1,0,0,1,0,0,1,0,0,1,0.8418028742762925,0.7949192161801544,1,1,1,2
0,1,0,0,0.305398088651998,1,0,1,0,0,1,0,0,0,0,1,1,0.7585367438630826,0.47642225610856226,0,1,0,1
0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,0.7261224137911662,0.21680977401292353,0,0,0,3
1,0,0,1,0.0,1,0,1,0,0,0,0,0,0,0,1,3,0.7212186189512102,0.21531288880239874,0,0,0,3
0,0,0,1,0.6258260711118334,1,0,2,0,0,0,0,0,0,1,0,0,0.05288139721134802,0.49457753191272674,0,0,0,1
0,0,0,0,0.305398088651998,1,0,0,1,0,0,1,0,0,0,0,2,0.5812065629775022,0.4558824351987979,0,2,0,3
0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,0.7234875064813764,0.21600546757029035,0,0,0,3
1,0,0,0,0.8034809181183954,1,0,1,0,1,1,0,1,1,1,1,0,0.9206440957734128,0.8576447631774723,1,2,2,0
0,0,1,0,0.7619132911961489,1,2,1,0,0,0,0,0,1,0,1,2,0.8214655583925399,0.8049409926298342,1,0,1,4
1,1,0,0,0.5780542224431977,1,2,1,0,0,0,0,0,0,0,0,2,0.7592430191803492,0.6699961362439297,0,0,0,4
0,1,1,0,0.9263039371594961,1,2,1,0,1,1,0,0,0,0,1,2,0.8242848647714085,0.905872647830517,0,2,0,4
1,0,0,0,0.4474001131530433,1,2,1,0,0,0,0,1,1,0,1,2,0.8836566882066802,0.6171462315673841,1,0,2,2
1,0,0,0,0.9883345686837408,1,2,0,1,1,1,1,0,1,1,1,1,0.7796686537268641,0.9212329764477906,1,4,1,0
1,0,1,1,0.305398088651998,1,2,2,0,0,0,0,0,0,0,1,0,0.18692200989695631,0.3213147509857222,0,0,0,4
1,1,1,0,0.7336191963450966,1,2,1,0,1,1,0,0,1,0,1,2,0.8839361669160188,0.7976990552469875,1,2,1,2
0,0,1,1,0.6789366222463231,1,0,1,0,1,0,0,0,1,0,0,2,0.8106784427840045,0.7475977054707236,1,1,1,1
0,0,0,0,0.4181114364895969,1,0,0,1,0,0,0,0,0,0,1,2,0.5365355148572558,0.4836703388857799,0,1,0,3
0,0,1,1,0.9590458920202943,1,0,1,0,1,1,0,1,1,0,1,2,0.9090418917665933,0.9472446439527559,1,2,2,1
1,0,1,0,0.5601134609906421,0,1,0,0,0,0,0,1,1,0,0,2,0.4976658798397413,0.5818593332290487,1,0,2,1
1,0,0,1,0.9161942659559942,1,0,2,0,0,0,0,0,0,2,0,0,0.04217539319048182,0.6560088051617271,0,0,0,1
1,0,1,0,0.6536478033682963,1,0,1,0,0,0,0,1,1,0,1,3,0.8460190365484587,0.7453349230160748,1,0,2,1
0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,2,0.17335085352909174,0.04807604832498938,0,0,0,3
1,1,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0,2,0.16910475511269302,0.046779925193949655,0,0,0,3
0,0,1,0,0.9677336403279688,0,1,0,1,0,1,1,0,1,2,0,2,0.5146719052479265,0.8345741362376836,1,3,1,0
1,0,0,1,0.8948002263060865,1,2,1,0,0,0,0,0,0,0,0,1,0.7560573971634003,0.8599743307404921,0,0,0,4
1,0,0,1,0.7433740681130344,1,0,1,1,0,0,0,0,0,0,1,0,0.753923040975606,0.7661587714841882,0,1,0,1
1,0,0,0,0.4738949439878661,1,0,0,0,0,0,0,0,0,0,1,2,0.48836955688233724,0.4994051400856689,0,0,0,3
0,1,0,0,0.6665796848022654,0,1,0,1,0,0,0,1,0,0,1,2,0.44377198761294334,0.61929442091162,1,1,1,1
1,0,1,1,0.6789366222463231,1,0,0,1,0,1,1,1,0,1,1,0,0.6983788197259867,0.7184951187057859,1,3,1,0
0,0,0,0,0.6907675702807966,1,2,1,1,0,0,0,1,0,0,1,0,0.8522815072775117,0.7739474326655348,1,1,1,2
1,0,0,0,0.11271334783759884,1,2,1,0,0,0,0,0,0,0,1,2,0.7652089366876709,0.3514828391351868,0,0,0,4
1,0,1,1,0.5409344555306974,1,0,1,1,0,0,0,0,1,0,0,2,0.815464349298437,0.6625286840979586,1,1,1,1
0,0,0,0,0.5949069773404103,1,2,1,0,1,1,0,0,1,0,1,1,0.8842154994162434,0.7197150133238056,1,2,1,0
0,0,0,0,0.9802764589692089,1,2,1,1,1,1,0,1,0,0,1,1,0.923765063618731,0.9621793283549077,1,3,1,0
0,1,1,0,0.8834523110951958,1,2,1,1,0,0,0,0,0,0,0,2,0.791426311677783,0.8663845907639047,0,1,0,4
1,0,1,1,0.6665796848022654,1,2,1,0,1,1,0,1,1,0,0,2,0.9312329344708536,0.7730548689404214,1,2,2,2
1,0,0,0,0.3853694816287984,1,2,1,0,0,1,0,1,1,0,1,0,0.8977268111205291,0.5925581745246289,1,1,2,2
0,1,0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,3,0.18485645969239684,0.05158813891321012,0,0,0,3
0,1,1,1,0.0,1,0,1,0,0,0,0,0,0,0,1,2,0.7120454101612023,0.21251276338545885,0,0,0,3
1,0,1,0,0.5780542224431977,1,2,1,0,0,1,0,1,1,0,1,2,0.9140828917827661,0.7142171493003905,1,1,2,2
1,0,1,0,0.0,1,0,1,1,0,0,0,1,1,0,1,2,0.8808538258019434,0.26404159544953104,1,1,2,1
0,1,0,0,0.11271334783759884,1,0,1,0,0,0,0,0,0,0,0,2,0.7234875064813764,0.3436736030076573,0,0,0,3
1,0,1,1,0.9719777734542633,1,2,0,1,1,1,0,0,1,1,0,1,0.7361655449000789,0.8983159799528787,1,3,1,0
1,0,0,0,0.5409344555306974,1,0,1,0,0,1,0,1,0,0,1,2,0.8100370684582352,0.6572815721346066,1,1,1,1
0,1,0,0,0.8775997724016579,1,2,1,1,1,1,0,1,1,1,1,2,0.9591318803154247,0.9058759913173583,1,3,2,0
0,0,1,0,0.9161942659559942,1,0,1,0,0,1,0,1,1,1,1,0,0.8800100899476795,0.9100156614904857,1,1,2,1
1,0,0,0,0.254715372338644,1,2,1,0,0,0,0,0,1,0,1,2,0.8255331273200583,0.47133257897124237,1,0,1,4
1,0,0,1,0.254715372338644,1,2,1,0,1,0,0,1,1,0,1,2,0.9172423333207231,0.4832238610698157,1,1,2,2
0,1,0,0,0.4474001131530433,1,2,1,0,0,0,0,0,0,0,1,2,0.7514221274479279,0.5705394266643917,0,0,0,4
0,0,0,0,0.5203335271749256,1,2,0,1,0,1,1,0,0,0,1,3,0.6499744580947584,0.5927295289733502,0,3,0,0
0,1,0,0,0.254715372338644,1,2,1,0,0,0,0,0,0,0,1,2,0.753923040975606,0.462868645710392,0,0,0,4
0,1,1,0,0.0,1,2,1,0,0,0,0,0,0,0,1,2,0.7507054239013919,0.2243137470511818,0,0,0,4
0,1,0,0,0.9263039371594961,1,2,1,0,0,1,0,1,1,1,1,2,0.9082415757606498,0.9258187894952633,1,1,2,2
1,0,1,0,0.4474001131530433,1,0,1,0,1,1,0,0,0,0,1,2,0.788427553993347,0.5989901855107279,0,2,0,3
1,0,0,0,0.7021154854916872,1,2,0,1,0,0,0,0,0,0,1,0,0.5953033105422829,0.7025967810594671,0,1,0,4
1,0,1,0,0.254715372338644,1,0,0,0,0,0,1,0,0,0,0,3,0.5386734318756911,0.36761345292910885,0,1,0,3
0,0,0,0,0.0,1,0,1,0,1,1,0,0,0,0,1,2,0.8042297646163744,0.24065207209009576,0,2,0,3
1,0,0,0,0.11271334783759884,0,1,0,0,0,0,0,0,0,0,1,2,0.16910475511269302,0.1789145531152777,0,0,0,3
1,0,1,0,0.9922776889814588,1,0,1,1,1,1,1,1,1,1,1,0,0.9566993291285354,0.9768457957186549,1,4,2,0
1,0,0,0,0.11271334783759884,1,0,1,0,0,1,0,1,1,0,1,2,0.885609974123715,0.38349022880040384,1,1,2,1
0,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0,0,2,0.029868839308621338,0.004278109774838927,0,0,0,3
1,0,0,0,0.19268474081439926,1,0,1,0,0,1,1,1,0,0,1,3,0.8421051352874782,0.42941734887066185,1,2,1,3
1,0,0,0,0.4474001131530433,0,1,0,0,0,0,0,1,0,0,1,1,0.343098895759918,0.44932810623728664,1,0,1,1
1,1,0,0,0.4474001131530433,1,2,1,0,0,1,0,1,1,0,1,2,0.9109046439344527,0.633853989948708,1,1,2,2
1,1,0,0,0.5949069773404103,0,1,0,0,1,0,0,1,0,0,1,3,0.40547528717372106,0.5847985060333978,1,1,1,3
0,0,0,1,0.19268474081439926,1,0,0,1,0,0,1,0,0,0,1,3,0.5899999850642396,0.3434629579059026,0,2,0,3
1,1,1,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,0.7242416648864151,0.2162356747057311,0,0,0,3
1,1,0,0,0.7336191963450966,1,2,1,0,1,0,0,0,0,0,1,2,0.7986864787648869,0.7703205899409592,0,1,0,4
0,0,0,0,0.11271334783759884,0,1,0,0,0,0,0,0,1,0,1,2,0.343098895759918,0.195144157324053,1,0,1,1
1,1,0,0,0.9109981273786067,0,1,0,0,1,0,0,1,1,0,1,2,0.5289846649118131,0.8003205006366538,1,1,2,2
1,0,1,0,0.4474001131530433,0,1,0,0,0,0,1,1,0,0,0,3,0.427600428647708,0.46647568918495463,1,1,1,3
1,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,1,2,0.35602059263838975,0.10383605456652163,1,0,1,1
1,0,0,0,0.9161942659559942,1,2,1,0,0,0,0,1,0,0,0,0,0.8242848647714085,0.8934603749363041,1,0,1,4
0,0,0,0,0.7956498278693414,1,2,0,1,1,0,1,0,0,1,1,3,0.6732759924068907,0.7677426628227638,0,3,0,0
0,0,1,0,0.6536478033682963,1,2,1,1,0,0,0,0,0,0,0,2,0.8048781484993299,0.7235154454368817,0,1,0,4
0,0,0,0,0.305398088651998,1,0,0,1,0,0,1,0,0,0,0,1,0.5777474037858288,0.42801187918309785,0,2,0,1
1,0,1,0,0.5409344555306974,1,2,1,0,0,1,0,1,1,0,1,1,0.920122156277305,0.697688295189677,1,1,2,2
0,0,0,0,0.4474001131530433,1,0,1,0,0,0,0,0,1,0,1,2,0.7860834872408201,0.5949183673935541,1,0,1,1
0,1,0,0,0.4738949439878661,1,0,1,0,0,1,0,0,1,0,1,1,0.8189469496565884,0.6241586280754833,1,1,1,1
0,0,0,0,0.305398088651998,1,0,1,0,0,0,1,0,1,0,1,1,0.8239723426307911,0.5085749409693969,1,1,1,1
0,0,0,0,0.9212950571409093,1,2,1,1,0,1,0,1,1,1,1,0,0.9289264770528822,0.9296127983821645,1,2,2,0
1,0,1,1,0.254715372338644,1,2,1,0,0,1,0,1,1,0,0,2,0.9143468937965504,0.492500171849529,1,1,2,2
0,0,0,0,0.11271334783759884,1,0,2,0,0,0,0,0,0,0,0,3,0.035373466020944426,0.08438090065498652,0,0,0,3
0,1,1,0,0.7336191963450966,1,0,1,1,0,1,0,1,1,0,1,2,0.9148745065489691,0.8128332360560226,1,2,2,1
1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,3,0.49012499099612017,0.14477147236426544,0,0,0,3
1,0,1,0,0.9212950571409093,1,2,1,0,1,1,0,1,1,0,1,2,0.9307212486990624,0.9188328705036707,1,2,2,2
0,0,1,0,0.4980828294663973,1,2,1,0,0,1,0,1,1,0,1,2,0.9055651588184359,0.6567196947105284,1,1,2,2
1,1,1,0,1.0,1,2,1,0,1,1,0,1,1,2,1,0,0.9299527994486474,0.980171032611883,1,2,2,0
0,0,0,0,0.19268474081439926,1,0,1,0,1,0,0,1,0,0,0,2,0.813555131309527,0.4199420636193924,1,1,1,1
0,0,0,0,0.19268474081439926,1,2,1,0,0,0,0,0,0,0,0,2,0.7564122951904252,0.41644400485286653,0,0,0,4
1,0,0,0,0.3853694816287984,1,0,1,0,0,1,0,0,0,0,0,3,0.752137870265561,0.5486297496842232,0,1,0,3
0,0,0,0,0.8034809181183954,1,2,1,0,0,1,0,1,1,0,1,2,0.9095747701162132,0.8531561217140741,1,1,2,2
1,0,0,0,0.4738949439878661,1,2,1,0,1,0,0,0,0,0,1,0,0.7937470905155485,0.6090249386177663,0,1,0,4
1,1,1,0,0.9408108104555145,1,2,1,0,0,1,0,1,1,0,1,2,0.9012547898037833,0.9345533081921782,1,1,2,2
0,0,0,0,0.3853694816287984,1,0,1,0,0,0,0,1,0,0,1,3,0.791093946860328,0.5431976272992926,1,0,1,3
1,1,1,0,0.6536478033682963,1,0,1,0,1,0,0,0,0,0,1,2,0.7449368971718481,0.7097626201248116,0,1,0,3
1,0,0,0,0.5409344555306974,1,2,1,1,0,0,0,1,1,0,0,3,0.8982710966539,0.6814659537388944,1,1,2,2
1,0,0,0,0.7792930326398642,1,0,1,0,0,0,1,1,1,0,1,2,0.8875561405240878,0.8364226198807938,1,1,2,1
0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,3,0.7238647188333426,0.2161206117819292,0,0,0,3
1,0,0,0,0.0,1,0,1,0,0,0,0,1,1,0,1,2,0.8493085371135675,0.25441238426911583,1,0,2,1
1,0,1,1,0.9883345686837408,1,2,1,0,0,1,0,1,1,0,1,1,0.9052967777813701,0.9650264772544427,1,1,2,2
1,0,0,0,0.6258260711118334,1,0,0,1,0,0,0,0,0,0,0,2,0.5316936715448093,0.6258911996572356,0,1,0,3
1,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0,1,3,0.051554827430843116,0.010897765766822172,0,0,0,3
0,0,0,0,0.3853694816287984,1,0,2,0,0,0,0,0,0,0,0,0,0.0488917592570397,0.3244239078092783,0,0,0,1
1,0,0,0,0.305398088651998,1,0,1,0,0,1,0,1,1,0,0,0,0.8892186558122313,0.5322717947534797,1,1,2,1
0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,1,2,0.16374920307236904,0.04514514092890706,0,0,0,3
1,0,1,0,0.4980828294663973,1,2,1,0,0,0,0,0,0,0,1,2,0.7542793600158568,0.6164764765467212,0,0,0,4
1,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0,0,3,0.0367408011138838,0.0063757786882638005,0,0,0,3
0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,2,0.7242416648864151,0.2162356747057311,0,0,0,3
0,0,1,1,0.5203335271749256,1,0,2,0,0,0,0,0,0,1,0,0,0.04352544210694617,0.40787106131710377,0,0,0,1
0,0,0,0,0.8463325441826955,1,0,1,0,0,0,0,0,0,0,0,0,0.7197006532891675,0.8194202705247157,0,0,0,1
1,0,1,0,0.9312241597638317,1,2,2,0,0,0,0,0,0,2,1,1,0.17123202510578764,0.6938230104543868,0,0,0,4
1,0,1,1,0.0,1,0,1,0,0,0,0,0,0,0,1,3,0.7170337847882311,0.21403546660764824,0,0,0,3
1,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0,0,3,0.05288139721134802,0.011302701688893657,0,0,0,3
0,1,0,0,0.0,1,2,1,0,0,0,0,0,1,0,1,2,0.8217795507932384,0.2460091508899618,1,0,1,4
1,1,1,0,0.5949069773404103,1,2,1,0,0,1,0,1,1,0,1,2,0.9015252096940917,0.7230233944961508,1,1,2,2
1,0,0,1,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0.71588675091639,0.21368533408890175,0,0,0,1
0,0,1,1,0.0,1,0,1,0,0,0,0,0,0,0,1,3,0.710887598225057,0.21215934085854893,0,0,0,3
